Population	Strain_ID	Generation	CloneName	PointMutatorStatus
Ara+1	REL768A	500	Ara+1_500gen_768A	0
Ara+1	REL768B	500	Ara+1_500gen_768B	0
Ara+1	REL958A	1000	Ara+1_1000gen_958A	0
Ara+1	REL958B	1000	Ara+1_1000gen_958B	0
Ara+1	REL1062A	1500	Ara+1_1500gen_1062A	0
Ara+1	REL1062B	1500	Ara+1_1500gen_1062B	0
Ara+1	REL1158A	2000	Ara+1_2000gen_1158A	0
Ara+1	REL1158C	2000	Ara+1_2000gen_1158C	0
Ara+1	REL2173A	5000	Ara+1_5000gen_2173A	0
Ara+1	REL2173B	5000	Ara+1_5000gen_2173B	0
Ara+1	REL4530A	10000	Ara+1_10000gen_4530A	0
Ara+1	REL4530B	10000	Ara+1_10000gen_4530B	0
Ara+1	REL7183A	15000	Ara+1_15000gen_7183A	0
Ara+1	REL7183B	15000	Ara+1_15000gen_7183B	0
Ara+1	REL9282A	20000	Ara+1_20000gen_9282A	0
Ara+1	REL9282B	20000	Ara+1_20000gen_9282B	0
Ara+1	REL10450	30000	Ara+1_30000gen_10450	0
Ara+1	REL10451	30000	Ara+1_30000gen_10451	0
Ara+1	REL11008	40000	Ara+1_40000gen_11008	0
Ara+1	REL11009	40000	Ara+1_40000gen_11009	0
Ara+1	REL11392	50000	Ara+1_50000gen_11392	0
Ara+1	REL11393	50000	Ara+1_50000gen_11393	0
Ara+2	REL769A	500	Ara+2_500gen_769A	0
Ara+2	REL769B	500	Ara+2_500gen_769B	0
Ara+2	REL959A	1000	Ara+2_1000gen_959A	0
Ara+2	REL959B	1000	Ara+2_1000gen_959B	0
Ara+2	REL1063A	1500	Ara+2_1500gen_1063A	0
Ara+2	REL1063B	1500	Ara+2_1500gen_1063B	0
Ara+2	REL1159A	2000	Ara+2_2000gen_1159A	0
Ara+2	REL1159B	2000	Ara+2_2000gen_1159B	0
Ara+2	REL2174A	5000	Ara+2_5000gen_2174A	0
Ara+2	REL2174B	5000	Ara+2_5000gen_2174B	0
Ara+2	REL4531A	10000	Ara+2_10000gen_4531A	0
Ara+2	REL4531B	10000	Ara+2_10000gen_4531B	0
Ara+2	REL7184A	15000	Ara+2_15000gen_7184A	0
Ara+2	REL7184B	15000	Ara+2_15000gen_7184B	0
Ara+2	REL8601A	20000	Ara+2_20000gen_8601A	0
Ara+2	REL8601B	20000	Ara+2_20000gen_8601B	0
Ara+2	REL10407	30000	Ara+2_30000gen_10407	0
Ara+2	REL10408	30000	Ara+2_30000gen_10408	0
Ara+2	REL10950	40000	Ara+2_40000gen_10950	0
Ara+2	REL10951	40000	Ara+2_40000gen_10951	0
Ara+2	REL11342	50000	Ara+2_50000gen_11342	0
Ara+2	REL11343	50000	Ara+2_50000gen_11343	0
Ara+3	REL770A	500	Ara+3_500gen_770A	0
Ara+3	REL770B	500	Ara+3_500gen_770B	0
Ara+3	REL960A	1000	Ara+3_1000gen_960A	0
Ara+3	REL960B	1000	Ara+3_1000gen_960B	0
Ara+3	REL1064A	1500	Ara+3_1500gen_1064A	0
Ara+3	REL1064B	1500	Ara+3_1500gen_1064B	0
Ara+3	REL1160A	2000	Ara+3_2000gen_1160A	0
Ara+3	REL1160B	2000	Ara+3_2000gen_1160B	0
Ara+3	REL2175A	5000	Ara+3_5000gen_2175A	1
Ara+3	REL2175B	5000	Ara+3_5000gen_2175B	1
Ara+3	REL4532A	10000	Ara+3_10000gen_4532A	1
Ara+3	REL4532B	10000	Ara+3_10000gen_4532B	1
Ara+3	REL7185A	15000	Ara+3_15000gen_7185A	1
Ara+3	REL7185B	15000	Ara+3_15000gen_7185B	1
Ara+3	REL8602A	20000	Ara+3_20000gen_8602A	1
Ara+3	REL8602B	20000	Ara+3_20000gen_8602B	1
Ara+3	REL10410	30000	Ara+3_30000gen_10410	1
Ara+3	REL10411	30000	Ara+3_30000gen_10411	1
Ara+3	REL10953	40000	Ara+3_40000gen_10953	1
Ara+3	REL10954	40000	Ara+3_40000gen_10954	1
Ara+3	REL11345	50000	Ara+3_50000gen_11345	1
Ara+3	REL11346	50000	Ara+3_50000gen_11346	1
Ara+4	REL771A	500	Ara+4_500gen_771A	0
Ara+4	REL771B	500	Ara+4_500gen_771B	0
Ara+4	REL961A	1000	Ara+4_1000gen_961A	0
Ara+4	REL961B	1000	Ara+4_1000gen_961B	0
Ara+4	REL1065A	1500	Ara+4_1500gen_1065A	0
Ara+4	REL1065B	1500	Ara+4_1500gen_1065B	0
Ara+4	REL1161A	2000	Ara+4_2000gen_1161A	0
Ara+4	REL1161B	2000	Ara+4_2000gen_1161B	0
Ara+4	REL2176A	5000	Ara+4_5000gen_2176A	0
Ara+4	REL2176B	5000	Ara+4_5000gen_2176B	0
Ara+4	REL4533A	10000	Ara+4_10000gen_4533A	0
Ara+4	REL4533B	10000	Ara+4_10000gen_4533B	0
