Population	Strain_ID	Generation	CloneName	PointMutatorStatus
Ara+4	REL7186A	15000	Ara+4_15000gen_7186A	0
Ara+4	REL7186B	15000	Ara+4_15000gen_7186B	0
Ara+4	REL8603A	20000	Ara+4_20000gen_8603A	0
Ara+4	REL8603B	20000	Ara+4_20000gen_8603B	0
Ara+4	REL10414	30000	Ara+4_30000gen_10414	0
Ara+4	REL10415	30000	Ara+4_30000gen_10415	0
Ara+4	REL10956	40000	Ara+4_40000gen_10956	0
Ara+4	REL10957	40000	Ara+4_40000gen_10957	0
Ara+4	REL11348	50000	Ara+4_50000gen_11348	0
Ara+4	REL11349	50000	Ara+4_50000gen_11349	0
Ara+5	REL772A	500	Ara+5_500gen_772A	0
Ara+5	REL772B	500	Ara+5_500gen_772B	0
Ara+5	REL962A	1000	Ara+5_1000gen_962A	0
Ara+5	REL962B	1000	Ara+5_1000gen_962B	0
Ara+5	REL1066A	1500	Ara+5_1500gen_1066A	0
Ara+5	REL1066B	1500	Ara+5_1500gen_1066B	0
Ara+5	REL1162A	2000	Ara+5_2000gen_1162A	0
Ara+5	REL1162B	2000	Ara+5_2000gen_1162B	0
Ara+5	REL2177A	5000	Ara+5_5000gen_2177A	0
Ara+5	REL2177B	5000	Ara+5_5000gen_2177B	0
Ara+5	REL4534A	10000	Ara+5_10000gen_4534A	0
Ara+5	REL4534B	10000	Ara+5_10000gen_4534B	0
Ara+5	REL7187A	15000	Ara+5_15000gen_7187A	0
Ara+5	REL7187B	15000	Ara+5_15000gen_7187B	0
Ara+5	REL8604A	20000	Ara+5_20000gen_8604A	0
Ara+5	REL8604B	20000	Ara+5_20000gen_8604B	0
Ara+5	REL10432	30000	Ara+5_30000gen_10432	0
Ara+5	REL10433	30000	Ara+5_30000gen_10433	0
Ara+5	REL10982	40000	Ara+5_40000gen_10982	0
Ara+5	REL10983	40000	Ara+5_40000gen_10983	0
Ara+5	REL11367	50000	Ara+5_50000gen_11367	0
Ara+5	REL11368	50000	Ara+5_50000gen_11368	0
Ara+6	REL773A	500	Ara+6_500gen_773A	0
Ara+6	REL773B	500	Ara+6_500gen_773B	0
Ara+6	REL963A	1000	Ara+6_1000gen_963A	0
Ara+6	REL963B	1000	Ara+6_1000gen_963B	0
Ara+6	REL1067A	1500	Ara+6_1500gen_1067A	0
Ara+6	REL1067B	1500	Ara+6_1500gen_1067B	0
Ara+6	REL1163A	2000	Ara+6_2000gen_1163A	0
Ara+6	REL1163B	2000	Ara+6_2000gen_1163B	0
Ara+6	REL2178A	5000	Ara+6_5000gen_2178A	0
Ara+6	REL2178B	5000	Ara+6_5000gen_2178B	0
Ara+6	REL4535A	10000	Ara+6_10000gen_4535A	1
Ara+6	REL4535B	10000	Ara+6_10000gen_4535B	1
Ara+6	REL7188A	15000	Ara+6_15000gen_7188A	1
Ara+6	REL7188B	15000	Ara+6_15000gen_7188B	1
Ara+6	REL8605A	20000	Ara+6_20000gen_8605A	1
Ara+6	REL8605B	20000	Ara+6_20000gen_8605B	1
Ara+6	REL10417	30000	Ara+6_30000gen_10417	1
Ara+6	REL10418	30000	Ara+6_30000gen_10418	1
Ara+6	REL10985	40000	Ara+6_40000gen_10985	1
Ara+6	REL10986	40000	Ara+6_40000gen_10986	1
Ara+6	REL11370	50000	Ara+6_50000gen_11370	1
Ara+6	REL11371	50000	Ara+6_50000gen_11371	1
Ara-1	REL762B	500	Ara-1_500gen_762B	0
Ara-1	REL762C	500	Ara-1_500gen_762C	0
Ara-1	REL964B	1000	Ara-1_1000gen_964B	0
Ara-1	REL964C	1000	Ara-1_1000gen_964C	0
Ara-1	REL1068B	1500	Ara-1_1500gen_1068B	0
Ara-1	REL1068C	1500	Ara-1_1500gen_1068C	0
Ara-1	REL1164A	2000	Ara-1_2000gen_1164A	0
Ara-1	REL1164B	2000	Ara-1_2000gen_1164B	0
Ara-1	REL2179A	5000	Ara-1_5000gen_2179A	0
Ara-1	REL2179B	5000	Ara-1_5000gen_2179B	0
Ara-1	REL4536A	10000	Ara-1_10000gen_4536A	0
Ara-1	REL4536B	10000	Ara-1_10000gen_4536B	0
Ara-1	REL7177A	15000	Ara-1_15000gen_7177A	0
Ara-1	REL7177B	15000	Ara-1_15000gen_7177B	0
Ara-1	REL8593A	20000	Ara-1_20000gen_8593A	0
Ara-1	REL8593B	20000	Ara-1_20000gen_8593B	0
Ara-1	REL10391	30000	Ara-1_30000gen_10391	1
Ara-1	REL10392	30000	Ara-1_30000gen_10392	1
Ara-1	REL10938	40000	Ara-1_40000gen_10938	1
Ara-1	REL10939	40000	Ara-1_40000gen_10939	1
Ara-1	REL11330	50000	Ara-1_50000gen_11330	1
Ara-1	REL11331	50000	Ara-1_50000gen_11331	1
Ara-2	REL763A	500	Ara-2_500gen_763A	0
Ara-2	REL763B	500	Ara-2_500gen_763B	0
Ara-2	REL965A	1000	Ara-2_1000gen_965A	0
Ara-2	REL965B	1000	Ara-2_1000gen_965B	0
Ara-2	REL1069A	1500	Ara-2_1500gen_1069A	0
Ara-2	REL1069B	1500	Ara-2_1500gen_1069B	0
Ara-2	REL1165A	2000	Ara-2_2000gen_1165A	0
Ara-2	REL11829	2000	Ara-2_2000gen_11829	0
Ara-2	REL2180A	5000	Ara-2_5000gen_2180A	1
Ara-2	REL2180B	5000	Ara-2_5000gen_2180B	1
Ara-2	REL4537A	10000	Ara-2_10000gen_4537A	1
Ara-2	REL4537B	10000	Ara-2_10000gen_4537B	1
Ara-2	REL7178A	15000	Ara-2_15000gen_7178A	1
Ara-2	REL7178B	15000	Ara-2_15000gen_7178B	1
Ara-2	REL11830	20000	Ara-2_20000gen_20K-S1	1
Ara-2	REL11831	20000	Ara-2_20000gen_20K-LA	1
Ara-2	REL11832	30000	Ara-2_30000gen_30K-S1	1
Ara-2	REL11833	30000	Ara-2_30000gen_30K-L1	1
Ara-2	REL11035	40000	Ara-2_40000gen_11035	1
Ara-2	REL11036	40000	Ara-2_40000gen_11036	1
Ara-2	REL11333	50000	Ara-2_50000gen_11333	1
Ara-2	REL11335	50000	Ara-2_50000gen_11335	1
Ara-3	REL764A	500	Ara-3_500gen_764A	0
Ara-3	REL764B	500	Ara-3_500gen_764B	0
Ara-3	REL966A	1000	Ara-3_1000gen_966A	0
Ara-3	REL966B	1000	Ara-3_1000gen_966B	0
Ara-3	REL1070A	1500	Ara-3_1500gen_1070A	0
Ara-3	REL1070B	1500	Ara-3_1500gen_1070B	0
Ara-3	REL1166A	2000	Ara-3_2000gen_1166A	0
Ara-3	REL1166B	2000	Ara-3_2000gen_1166B	0
Ara-3	REL2181A	5000	Ara-3_5000gen_2181A	0
Ara-3	ZDB409	5000	Ara-3_5000gen_ZDB409	0
Ara-3	REL4538A	10000	Ara-3_10000gen_4538A	0
Ara-3	ZDB429	10000	Ara-3_10000gen_ZDB429	0
Ara-3	ZDB446	15000	Ara-3_15000gen_ZDB446	0
Ara-3	REL7179B	15000	Ara-3_15000gen_7179B	0
Ara-3	ZDB458	20000	Ara-3_20000gen_ZDB458	0
Ara-3	ZDB464	20000	Ara-3_20000gen_ZDB464	0
Ara-3	ZDB16	30000	Ara-3_30000gen_ZDB16	0
Ara-3	ZDB357	30000	Ara-3_30000gen_ZDB357	0
Ara-3	REL10979	40000	Ara-3_40000gen_10979	1
Ara-3	REL10988	40000	Ara-3_40000gen_10988	0
Ara-3	REL11364	50000	Ara-3_50000gen_11364	1
Ara-3	REL11365	50000	Ara-3_50000gen_11365	1
Ara-4	REL765A	500	Ara-4_500gen_765A	0
Ara-4	REL765B	500	Ara-4_500gen_765B	0
Ara-4	REL967A	1000	Ara-4_1000gen_967A	0
Ara-4	REL967B	1000	Ara-4_1000gen_967B	0
Ara-4	REL1071A	1500	Ara-4_1500gen_1071A	0
Ara-4	REL1071B	1500	Ara-4_1500gen_1071B	0
Ara-4	REL1167A	2000	Ara-4_2000gen_1167A	0
Ara-4	REL1167B	2000	Ara-4_2000gen_1167B	0
Ara-4	REL2182A	5000	Ara-4_5000gen_2182A	0
Ara-4	REL2182B	5000	Ara-4_5000gen_2182B	0
Ara-4	REL4539A	10000	Ara-4_10000gen_4539A	1
Ara-4	REL4539B	10000	Ara-4_10000gen_4539B	1
Ara-4	REL7180A	15000	Ara-4_15000gen_7180A	1
Ara-4	REL7180B	15000	Ara-4_15000gen_7180B	1
Ara-4	REL8596A	20000	Ara-4_20000gen_8596A	1
Ara-4	REL8596B	20000	Ara-4_20000gen_8596B	1
Ara-4	REL10401	30000	Ara-4_30000gen_10401	1
Ara-4	REL10402	30000	Ara-4_30000gen_10402	1
Ara-4	REL10944	40000	Ara-4_40000gen_10944	1
Ara-4	REL10945	40000	Ara-4_40000gen_10945	1
Ara-4	REL11336	50000	Ara-4_50000gen_11336	1
Ara-4	REL11337	50000	Ara-4_50000gen_11337	1
Ara-5	REL766A	500	Ara-5_500gen_766A	0
Ara-5	REL766B	500	Ara-5_500gen_766B	0
Ara-5	REL968A	1000	Ara-5_1000gen_968A	0
Ara-5	REL968B	1000	Ara-5_1000gen_968B	0
Ara-5	REL1072A	1500	Ara-5_1500gen_1072A	0
Ara-5	REL1072B	1500	Ara-5_1500gen_1072B	0
Ara-5	REL1168A	2000	Ara-5_2000gen_1168A	0
Ara-5	REL1168B	2000	Ara-5_2000gen_1168B	0
Ara-5	REL2183A	5000	Ara-5_5000gen_2183A	0
Ara-5	REL2183B	5000	Ara-5_5000gen_2183B	0
Ara-5	REL4540A	10000	Ara-5_10000gen_4540A	0
Ara-5	REL4540B	10000	Ara-5_10000gen_4540B	0
Ara-5	REL7181A	15000	Ara-5_15000gen_7181A	0
Ara-5	REL7181B	15000	Ara-5_15000gen_7181B	0
Ara-5	REL8597A	20000	Ara-5_20000gen_8597A	0
Ara-5	REL8597B	20000	Ara-5_20000gen_8597B	0
Ara-5	REL10404	30000	Ara-5_30000gen_10404	0
Ara-5	REL10405	30000	Ara-5_30000gen_10405	0
Ara-5	REL10947	40000	Ara-5_40000gen_10947	0
Ara-5	REL10948	40000	Ara-5_40000gen_10948	0
Ara-5	REL11339	50000	Ara-5_50000gen_11339	0
Ara-5	REL11340	50000	Ara-5_50000gen_11340	0
Ara-6	REL767A	500	Ara-6_500gen_767A	0
Ara-6	REL767B	500	Ara-6_500gen_767B	0
Ara-6	REL969A	1000	Ara-6_1000gen_969A	0
Ara-6	REL969B	1000	Ara-6_1000gen_969B	0
Ara-6	REL1073A	1500	Ara-6_1500gen_1073A	0
Ara-6	REL1073B	1500	Ara-6_1500gen_1073B	0
Ara-6	REL1169A	2000	Ara-6_2000gen_1169A	0
Ara-6	REL1169B	2000	Ara-6_2000gen_1169B	0
Ara-6	REL2184A	5000	Ara-6_5000gen_2184A	0
Ara-6	REL2184B	5000	Ara-6_5000gen_2184B	0
Ara-6	REL4541A	10000	Ara-6_10000gen_4541A	0
Ara-6	REL4541B	10000	Ara-6_10000gen_4541B	0
Ara-6	REL7182A	15000	Ara-6_15000gen_7182A	0
Ara-6	REL7182B	15000	Ara-6_15000gen_7182B	0
Ara-6	REL8598A	20000	Ara-6_20000gen_8598A	0
Ara-6	REL8598B	20000	Ara-6_20000gen_8598B	0
Ara-6	REL10447	30000	Ara-6_30000gen_10447	0
Ara-6	REL10448	30000	Ara-6_30000gen_10448	0
Ara-6	REL11005	40000	Ara-6_40000gen_11005	0
Ara-6	REL11006	40000	Ara-6_40000gen_11006	0
Ara-6	REL11389	50000	Ara-6_50000gen_11389	0
Ara-6	REL11390	50000	Ara-6_50000gen_11390	0
