strain,rank,n,relative_fitness,CL_95%,CL+95%
Anc MAE,1,9,0.996273195,0.967135326,1.025411064
MAE 1,2,9,0.771410625,0.681725403,0.861095846
MAE 2,3,9,0.977968406,0.914936272,1.041000539
MAE 3,4,9,0.915341979,0.865535457,0.965148501
MAE 4,5,9,1.001082313,0.964398804,1.037765822
MAE 5,6,9,0.877904988,0.81899527,0.936814705
MAE 6,7,9,1.018399501,0.995944788,1.040854215
MAE 7,8,9,0.87698813,0.819151751,0.93482451
MAE 8,9,9,0.976413523,0.935873144,1.016953903
MAE 9,10,9,0.895630111,0.821361794,0.969898428
MAE 10,11,9,0.96743042,0.925364525,1.009496315
MAE 11,12,9,0.915064253,0.850680941,0.979447565
MAE 12,13,9,0.693315036,0.544300415,0.842329657
MAE 13,14,9,0.821017461,0.766639037,0.875395884
MAE 14,15,9,0.912203788,0.873363683,0.951043894
MAE 15,16,9,0.826161926,0.725384514,0.926939337
